tracklet_id,mpc80_designation,mpc80_line0,mpc80_line1,mpc80_sha256,exported,exclusion_reason
DIFFMAP004,D000010,     D000010  C2027 08 25.00000 06 55 19.87 -13 56 07.1          23.9 V      X05,     D000010  C2027 08 25.02083 06 55 18.38 -13 56 43.8          23.9 V      X05,bbdc9d86b95ac2f9ff019ada731ccc7e8c5016cf6021cbb5a830fc540ff1d218,True,
MISSDENS000,D000011,     D000011  C2027 08 25.00000 23 46 29.90 +18 54 07.0          23.6 V      X05,     D000011  C2027 08 25.02083 23 46 35.52 +18 53 55.6          23.6 V      X05,6eaae4687968bdcd9357e4105be19ffdf35ffd7a0ba965c57a543c61c1f5a5bc,True,
MISSDENS001,D000012,     D000012  C2027 08 25.00000 19 42 35.97 -34 26 10.0          22.9 V      X05,     D000012  C2027 08 25.02083 19 42 07.21 -34 27 07.5          22.9 V      X05,ac926a1bed9a5fb43f19bb7c5b690468444e6f93ac1c676aa3fd0ab740a47fbd,True,
MISSDENS002,D000013,     D000013  C2027 08 25.00000 23 26 19.98 -06 40 59.8          24.1 V      X05,     D000013  C2027 08 25.02083 23 26 09.32 -06 41 18.9          24.1 V      X05,e1ca34d7090ead537bbbecf55baeebf8f5168f582d001d514e13b5d9e4b23516,True,
MISSDENS003,D000014,     D000014  C2027 08 25.00000 21 06 00.98 +54 25 01.1          22.8 V      X05,     D000014  C2027 08 25.02083 21 06 13.64 +54 22 14.3          22.8 V      X05,466f42fde1c1fe92adcfe77abf8b19fd533e64fe3304845286d72f7b9d26835c,True,
MAGEDGE000,D000015,     D000015  C2027 08 25.00000 23 39 42.48 +41 06 17.5          25.0 V      X05,     D000015  C2027 08 25.02083 23 39 56.27 +41 10 45.4          25.0 V      X05,fd9b93a45f99b40450c9e170fdbd1faffe5eef8d2f8502b3411dc9bbbe22ab07,True,
MAGEDGE001,D000016,     D000016  C2027 08 25.00000 14 53 25.25 -16 30 00.1          24.0 V      X05,     D000016  C2027 08 25.02083 14 53 27.26 -16 29 50.6          24.0 V      X05,4bde6d9bc674308b8a185835e86ba1c9cf524a58c617d276299cc577e9586847,True,
MAGEDGE002,D000017,     D000017  C2027 08 25.00000 21 55 54.10 +09 51 01.5          23.7 V      X05,     D000017  C2027 08 25.02083 21 55 50.19 +09 51 04.1          23.7 V      X05,6b81bff84614df15f40f5b04da4c3e630f049272c632f9bf06ecef55c7a3521a,True,
MAGEDGE003,D000018,     D000018  C2027 08 25.00000 19 47 10.95 +19 13 00.9          22.7 V      X05,     D000018  C2027 08 25.02083 19 46 54.32 +19 04 18.2          22.7 V      X05,e4134243598823bfc14354977f9a7cc328fb2d7915818583e011ac0506fec32c,True,
VELEDGE000,D000019,     D000019  C2027 08 25.00000 19 42 35.97 -34 26 10.0          22.9 V      X05,     D000019  C2027 08 25.02083 19 42 07.21 -34 27 07.5          22.9 V      X05,c7732a0175395a11e1ded65072cbded387a966d66be0944c8f8ce4a5187b0c57,True,
VELEDGE001,D000020,     D000020  C2027 08 25.00000 01 35 25.76 -57 56 43.2          23.8 V      X05,     D000020  C2027 08 25.02083 01 35 48.26 -57 55 47.4          23.8 V      X05,0c504d2acf143388918c209b5851429157aec9c91e72fc370b05dae567e84d56,True,
VELEDGE002,D000021,     D000021  C2027 08 25.00000 22 21 12.27 -00 41 32.6          24.0 V      X05,     D000021  C2027 08 25.02083 22 21 07.67 -00 46 55.7          24.0 V      X05,6a225d267e0eca7c99da1948bbcdff15cbc097b12e36f86535321466e3775403,True,
VELOUT000,D000022,     D000022  C2027 08 25.00000 05 48 07.70 -37 29 13.9          24.6 V      X05,     D000022  C2027 08 25.02083 05 48 21.42 -37 26 17.5          24.6 V      X05,04127dd010107bb0eef3e647cb3bcfeda8c5fc29aa05b33ce726ecb2cebb5c79,True,
VELOUT001,D000023,     D000023  C2027 08 25.00000 17 38 37.14 +61 57 14.3          24.4 V      X05,     D000023  C2027 08 25.02083 17 38 42.29 +61 56 49.3          24.4 V      X05,106c8cd7c4697dea963b6bc2138f9e1b75c6206cb5dd6fc0fc3611f3d9d533e3,True,
VELOUT002,D000024,     D000024  C2027 08 25.00000 02 54 30.42 +01 02 58.7          23.7 V      X05,     D000024  C2027 08 25.02083 02 54 31.65 +00 55 52.3          23.7 V      X05,1973231aab5432d12f1e0c3e54d6fce5b956b72971ec899ae12b8fd7813c2fc7,True,
BAD_TIME_ORDER,D000025,     D000025  C2027 08 25.00000 13 31 01.20 -01 08 28.4          22.1 V      X05,     D000025  C2027 08 24.99000 13 31 03.56 -01 08 57.4          22.1 V      X05,b1e28adfe88b23b047c2e79224cb5224607eb00ea0651ecf882777229590441e,True,
BAD_V_TOO_FAINT,D000026,     D000026  C2027 08 25.00000 13 31 01.20 -01 08 28.4          25.6 V      X05,     D000026  C2027 08 25.02083 13 31 03.56 -01 08 57.4          25.6 V      X05,9e2e4ebf7b4bafc716ec69c93584e78c088508280b81c33bd6f2d05a88926acb,True,
BAD_V_TOO_BRIGHT,D000027,     D000027  C2027 08 25.00000 13 31 01.20 -01 08 28.4          13.4 V      X05,     D000027  C2027 08 25.02083 13 31 03.56 -01 08 57.4          13.4 V      X05,d85d52b70a7fe1a8cb66839879ab4e72d1414c585835dd05405e0ce6f117180f,True,
BAD_NAN_MJD,,,,,False,not_representable:mjd0
BAD_RA_400,,,,,False,out_of_range:ra0
BAD_DEC_100,,,,,False,out_of_range:dec0
BAD_MAG_NAN,,,,,False,not_representable:mag0_V
