,ra_bench,ra_sorcha,dec_bench,dec_sorcha,vlam_bench,vlam_sorcha,vbeta_bench,vbeta_sorcha,mag_bench,mag_sorcha,H,e,P_vdp_bench,P_vdp_sorcha,P_d2_bench,P_d2_sorcha,sky_sep_deg,dv_deg_day,dmag,dP_vdp,dP_d2
S0000c90a,39.3134,39.5367,-1.4048,-1.2335,0.7723,0.7589,0.2485,0.2642,23.6896,23.6877,22.795,0.6945,1.0,1.0,1.0,1.0,0.2814,0.0206,-0.002,0.0,0.0
S0000pmba,308.3585,308.2228,-3.4142,-3.3144,-0.7055,-0.7313,0.8712,0.8759,23.8642,24.1966,23.708,0.1807,1.0,1.0,0.97,0.97,0.1683,0.0262,0.3324,0.0,0.0
S000019Qa,349.3399,349.2587,-11.8411,-12.0252,-0.5308,-0.5515,-0.5198,-0.5076,20.3116,20.5542,19.88,0.3923,1.0,1.0,0.99,1.0,0.2005,0.024,0.2426,0.0,0.01
S00002GAa,266.9763,266.9699,-43.3683,-43.3157,-0.0485,-0.0584,0.5104,0.5138,23.651,23.6935,20.923,0.5288,1.0,1.0,0.98,0.99,0.0528,0.0105,0.0425,0.0,0.01
S000034ka,3.2652,2.9538,-39.536,-39.7152,-0.9351,-0.9405,-0.0975,-0.0795,23.13,23.339,21.089,0.8104,1.0,1.0,1.0,1.0,0.2996,0.0188,0.209,0.0,0.0
S00008ZFa,251.3739,251.4089,-43.3281,-43.2391,0.2131,0.1946,1.2498,1.2547,23.8333,24.1574,22.422,0.1358,1.0,1.0,1.0,1.0,0.0926,0.0191,0.3241,0.0,0.0
S0000euwa,345.9183,345.7951,-16.1014,-16.1794,-0.4992,-0.5358,-0.102,-0.0836,21.9493,22.1043,23.014,0.1056,1.0,1.0,1.0,1.0,0.1417,0.041,0.1549,0.0,0.0
S0000hUXa,269.9731,269.9155,-40.7593,-40.8074,-0.4151,-0.4397,-0.4711,-0.4615,23.8517,24.1448,23.278,0.4969,1.0,1.0,1.0,1.0,0.065,0.0265,0.2932,0.0,0.0
S0000S0oa,329.839,329.6531,-15.1852,-15.1304,-0.9196,-0.9493,0.7098,0.7189,23.7149,23.9217,24.647,0.367,1.0,1.0,1.0,1.0,0.1876,0.0311,0.2068,0.0,0.0
S0000Mwka,313.6761,313.2052,-19.27,-18.5763,-0.9684,-1.0602,3.6153,3.5766,20.3619,21.67,24.514,0.2922,0.0,0.0,1.0,1.0,0.8239,0.0996,1.308,0.0,0.0
S00013Vka,48.9169,49.1199,-4.9076,-4.7508,0.7419,0.6661,0.2674,0.2823,23.8956,23.86,24.894,0.4849,1.0,1.0,0.97,0.93,0.2559,0.0772,-0.0356,0.0,-0.04
S00016K9a,263.4411,263.0785,-28.2194,-28.1374,-2.516,-2.6711,0.5293,0.5831,21.9359,23.162,24.946,0.6517,0.0,0.0,1.0,1.0,0.3299,0.1641,1.2261,0.0,0.0
S000001Na,269.4202,269.4122,-33.3289,-33.324,-0.0544,-0.0589,0.043,0.0448,20.0702,20.0867,15.309,0.6827,0.0008,0.0008,1.0,1.0,0.0083,0.0049,0.0166,0.0,0.0
S000009na,251.9428,251.993,-21.7315,-21.7314,0.7019,0.6895,0.0859,0.0873,19.6933,19.7955,17.354,0.4307,1.0,1.0,0.99,0.99,0.0466,0.0125,0.1022,0.0,0.0
S00000mGa,290.4216,290.4129,-47.9963,-47.9954,-0.2727,-0.279,0.0797,0.0791,23.3017,23.1855,18.45,0.9,1.0,1.0,1.0,1.0,0.0059,0.0064,-0.1162,0.0,0.0
S00000T2a,251.6179,251.5706,-39.7305,-39.7391,-0.4944,-0.5075,-0.1883,-0.1836,21.5507,21.6773,19.549,0.7555,1.0,1.0,1.0,1.0,0.0374,0.014,0.1266,0.0,0.0
S00000NSa,346.2318,346.1083,-15.8415,-15.8719,-0.4546,-0.4611,0.0677,0.0713,23.4589,23.6336,19.427,0.8961,1.0,1.0,1.0,1.0,0.1227,0.0074,0.1747,0.0,0.0
S0000D6aa,337.1094,337.0003,-14.2098,-14.2552,-0.7005,-0.728,-0.0234,-0.0157,24.0073,24.0568,24.246,0.5739,1.0,1.0,1.0,1.0,0.1151,0.0285,0.0495,0.0,0.0
S0000aiEa,254.7243,254.853,-50.8898,-50.8261,1.1109,1.0833,0.9479,0.956,23.5069,23.573,22.591,0.3372,1.0,1.0,1.0,1.0,0.1032,0.0288,0.0661,0.0,0.0
S0000wxma,305.9539,305.765,-25.5147,-25.2227,-0.4177,-0.4394,1.4985,1.4902,23.0277,23.383,24.018,0.6255,1.0,1.0,0.97,0.98,0.3381,0.0233,0.3553,0.0,0.01
S00000Gka,248.652,248.7631,-21.6059,-21.6362,1.5708,1.5461,-0.22,-0.2165,20.3498,20.7407,19.223,0.7611,1.0,1.0,1.0,1.0,0.1076,0.0249,0.3909,0.0,0.0
S00001Cma,0.1902,359.7971,-42.4508,-42.5127,-0.8914,-0.9011,0.2309,0.2538,21.494,21.6228,20.295,0.5139,1.0,1.0,1.0,1.0,265.3384,0.0249,0.1288,0.0,0.0
S00003p9a,42.5041,42.8958,-13.7167,-13.8337,1.0457,1.0369,-0.6756,-0.6765,22.3644,22.73,21.217,0.701,1.0,1.0,1.0,1.0,0.3981,0.0088,0.3656,0.0,0.0
S00004c2a,200.5705,200.4376,-25.8886,-26.0734,-0.0363,-0.055,-0.2171,-0.2152,23.2909,23.5027,21.476,0.6897,1.0,1.0,1.0,1.0,0.2201,0.0188,0.2118,0.0,0.0
S00004G9a,315.8447,315.7536,-19.4086,-19.4032,-0.3585,-0.3654,0.1332,0.1373,24.1012,24.2447,21.612,0.7554,1.0,1.0,1.0,1.0,0.0861,0.008,0.1436,0.0,0.0
S000071Na,280.9551,281.0333,-11.8778,-11.9132,0.7208,0.6935,-0.383,-0.3782,22.6368,22.8865,22.116,0.4908,1.0,1.0,0.99,0.99,0.0843,0.0277,0.2496,0.0,0.0
S0000DXua,332.9231,332.9043,-13.0569,-13.3816,-0.8052,-0.8349,-1.8698,-1.8517,23.0662,23.8334,24.273,0.4888,1.0,1.0,0.98,0.98,0.3252,0.0347,0.7672,0.0,0.0
S0000tgEa,27.0654,27.8611,-0.4581,-1.1662,1.575,1.6232,-2.9666,-3.1796,21.7133,22.7177,23.886,0.9117,0.0,0.0,1.0,1.0,1.065,0.2184,1.0044,0.0,0.0
S0000LjWa,323.3412,323.2598,-6.2746,-6.1285,-0.1358,-0.1887,0.9778,0.997,22.4518,22.8154,24.483,0.2994,1.0,1.0,0.87,0.72,0.167,0.0563,0.3636,0.0,-0.15
S00000gSa,275.6985,275.6743,-32.3927,-32.3687,-0.1789,-0.1859,0.2342,0.2363,21.7618,21.8302,18.083,0.6525,1.0,1.0,1.0,1.0,0.0316,0.0072,0.0684,0.0,0.0
S00002Uwa,41.8974,41.6967,-12.0422,-12.0651,-0.6134,-0.6337,0.1253,0.1313,23.6401,23.6952,21.023,0.7049,1.0,1.0,1.0,1.0,0.1977,0.0212,0.0551,0.0,0.0
S00003xoa,17.5482,17.5746,1.0968,1.1022,0.0946,0.0746,-0.0198,-0.0126,22.8092,22.7965,21.265,0.2808,0.0006,0.0006,0.06,0.06,0.027,0.0213,-0.0126,-0.0,0.0
S00005iqa,22.5115,22.4173,2.6504,2.5936,-0.346,-0.3631,-0.0604,-0.0548,24.0197,24.0259,21.765,0.6181,1.0,1.0,1.0,1.0,0.1099,0.018,0.0062,0.0,0.0
S00005J3a,251.1135,251.1813,-54.0677,-54.0549,0.868,0.844,0.3545,0.3602,23.1885,23.2415,21.862,0.2508,1.0,1.0,0.96,0.96,0.0417,0.0247,0.053,0.0,0.0
S000012Wa,327.0522,326.937,0.8983,0.8186,-0.5168,-0.536,-0.1407,-0.1371,20.5892,20.6772,19.754,0.5358,1.0,1.0,1.0,1.0,0.1401,0.0196,0.0879,0.0,0.0
S00001Gxa,324.2674,324.1432,4.2386,4.2439,-0.4535,-0.4608,0.1774,0.1784,23.7842,24.0641,20.345,0.5297,1.0,1.0,1.0,1.0,0.124,0.0073,0.2799,0.0,0.0
S00004qDa,40.9111,41.1658,1.0765,1.1019,0.7215,0.7011,-0.1539,-0.1469,22.6316,22.767,21.544,0.3027,1.0,1.0,0.99,1.0,0.2559,0.0215,0.1354,0.0,0.01
S00000a1a,267.4329,267.5058,-39.5633,-39.5363,0.5258,0.5121,0.2444,0.2496,19.4699,19.5939,17.437,0.4046,1.0,1.0,0.99,0.98,0.0624,0.0146,0.1241,0.0,-0.01
S00009vba,283.3976,283.2915,-29.0887,-29.0321,-0.4051,-0.4136,0.3079,0.3173,23.5995,23.6073,22.491,0.474,1.0,1.0,1.0,1.0,0.1086,0.0127,0.0077,0.0,0.0
S0000dnya,36.5581,36.4144,-13.9674,-13.7994,-0.211,-0.2559,0.5964,0.6141,22.9809,23.1741,22.915,0.1601,1.0,1.0,0.98,0.97,0.2183,0.0483,0.1932,0.0,-0.01
S0000jWfa,263.0813,263.1535,-56.1694,-56.1452,1.1345,1.0863,0.6176,0.6243,23.2329,23.2488,23.41,0.3791,1.0,1.0,1.0,1.0,0.0469,0.0486,0.0159,0.0,0.0
S0000n6Ea,24.6785,24.3755,-7.6282,-7.8712,-1.1743,-1.228,-0.3465,-0.3371,23.9082,24.1288,23.593,0.942,1.0,1.0,1.0,1.0,0.3863,0.0546,0.2206,0.0,0.0
S0000DPwa,20.1007,20.1229,-10.3318,-10.5436,-0.2003,-0.2436,-0.6807,-0.6595,23.7959,23.9428,24.269,0.6,1.0,1.0,0.86,0.9,0.213,0.0482,0.1468,0.0,0.04
S00012mMa,337.3654,337.3941,1.3202,1.2868,0.087,0.0476,-0.1737,-0.1592,23.6139,23.6813,24.864,0.5845,1.0,1.0,0.78,0.78,0.044,0.042,0.0674,0.0,0.0
S00002c6a,22.2188,22.4521,-8.4691,-8.6101,0.5612,0.5339,-0.7255,-0.7187,21.0805,21.293,20.672,0.4869,1.0,1.0,0.99,0.99,0.2704,0.0281,0.2126,0.0,0.0
S0000an9a,349.8037,349.6834,-5.7561,-5.8058,-0.4667,-0.4806,0.0005,0.0068,24.2331,24.3796,22.599,0.5879,1.0,1.0,1.0,1.0,0.1296,0.0152,0.1466,0.0,0.0
S00003Epa,47.4431,47.8272,-4.8908,-5.0645,0.9656,0.9359,-0.7809,-0.772,21.9682,22.2999,21.304,0.4966,1.0,1.0,1.0,0.99,0.4203,0.031,0.3317,0.0,-0.01
S00003Ira,267.5507,267.6651,-20.2309,-20.2611,0.9488,0.9273,-0.2453,-0.2399,22.2541,22.5213,21.326,0.5393,1.0,1.0,1.0,0.99,0.1115,0.0222,0.2672,0.0,-0.01
S00004nKa,270.6341,270.7323,-29.9408,-29.9041,0.7399,0.7206,0.3029,0.3071,22.9423,23.1621,21.53,0.7,1.0,1.0,0.97,0.99,0.0927,0.0198,0.2198,0.0,0.02
S00004oma,296.9742,297.0161,-26.0168,-25.8553,0.3696,0.3308,0.7169,0.7376,20.0574,20.2767,21.533,0.169,1.0,1.0,0.98,0.97,0.1658,0.044,0.2193,0.0,-0.01
S00007dwa,263.0227,263.0328,-18.1637,-18.1288,0.1595,0.1247,0.5447,0.5462,22.1509,22.2007,22.149,0.3029,1.0,1.0,0.9,0.95,0.0362,0.0348,0.0497,0.0,0.05
S00008uRa,309.5152,309.5522,-19.221,-19.385,-0.009,-0.0307,-0.7763,-0.7534,22.1701,22.374,22.352,0.743,1.0,1.0,0.83,0.8,0.1677,0.0316,0.2039,0.0,-0.03
S00006TMa,311.7732,311.6915,1.6648,1.6285,-0.5334,-0.5458,-0.0734,-0.0707,24.1745,24.1431,22.093,0.5839,1.0,1.0,1.0,1.0,0.0893,0.0127,-0.0314,0.0,0.0
S0000148a,16.4676,16.3808,-5.8155,-5.8599,-0.3242,-0.3387,-0.0255,-0.0207,22.6803,22.6684,19.777,0.667,1.0,1.0,1.0,1.0,0.0971,0.0153,-0.0119,0.0,0.0
S00000X9a,319.8895,319.8233,-10.0552,-10.1034,-0.4525,-0.4634,-0.1577,-0.1536,21.7253,21.8415,19.639,0.542,1.0,1.0,1.0,1.0,0.0811,0.0116,0.1162,0.0,0.0
S00000GZa,271.3627,271.1583,-38.6066,-38.7093,-1.4894,-1.6006,-0.9895,-0.9577,16.7344,17.3803,19.243,0.3882,1.0,1.0,1.0,1.0,0.1899,0.1156,0.6459,0.0,0.0
S00000sva,250.6102,250.7392,-46.3473,-46.371,1.3696,1.3391,-0.1474,-0.1357,19.2695,19.5451,18.733,0.3947,1.0,1.0,1.0,1.0,0.0921,0.0327,0.2757,0.0,0.0
S0000I8Pa,321.2604,320.6833,-5.5141,-4.9138,-2.0388,-2.2142,4.411,4.5425,20.4607,22.0974,24.396,0.5259,0.0,0.0,1.0,1.0,0.8309,0.2193,1.6367,0.0,0.0
S0000C2Aa,333.2494,333.1075,1.43,1.6479,-0.1682,-0.2156,0.9639,0.9793,22.3784,22.7353,24.212,0.2013,1.0,1.0,0.7,0.61,0.26,0.0499,0.3569,0.0,-0.09
S0000v4la,334.0753,333.8653,-0.2602,-0.036,-0.3989,-0.4513,1.088,1.0895,21.4774,21.9114,23.961,0.4519,1.0,1.0,0.89,0.9,0.3072,0.0524,0.434,0.0,0.01
S0000krwa,261.112,261.1012,-20.9978,-21.1055,-0.0102,-0.0396,-1.353,-1.3455,23.63,23.6953,23.441,0.1859,1.0,1.0,1.0,1.0,0.1082,0.0303,0.0653,-0.0,0.0
S00000Cja,324.8242,324.7793,-12.9113,-12.9289,-0.292,-0.3004,-0.0171,-0.0142,22.007,22.0496,19.1,0.4416,1.0,1.0,0.02,0.07,0.0472,0.009,0.0427,0.0,0.05
S00000pCa,346.8166,346.7341,-6.6971,-6.7575,-0.357,-0.3793,-0.0951,-0.0869,19.2171,19.2953,18.601,0.3111,1.0,1.0,0.98,1.0,0.1018,0.0238,0.0782,0.0,0.02
S000009Za,260.1389,260.1416,-31.5557,-31.5496,0.0193,0.0167,0.0513,0.0526,23.5061,23.4664,17.433,0.4852,0.0012,0.0013,0.08,0.17,0.0066,0.0029,-0.0397,0.0,0.09
S0000MApa,300.3374,300.4917,-19.0046,-19.1046,0.6585,0.6192,-0.6484,-0.6266,23.4642,23.6903,24.515,0.4562,1.0,1.0,1.0,1.0,0.1768,0.0449,0.2261,0.0,0.0
S0000wk9a,45.9625,46.3507,-3.172,-3.2694,1.021,0.9863,-0.5763,-0.5701,23.5791,23.8039,24.01,0.375,1.0,1.0,1.0,1.0,0.3997,0.0352,0.2248,0.0,0.0
S0000mVEa,337.8223,337.789,-10.3282,-10.2681,-0.0262,-0.0611,0.4154,0.4287,22.2993,22.3291,23.584,0.4467,1.0,1.0,0.8,0.86,0.0684,0.0373,0.0298,0.0,0.06
S0000kDQa,331.2521,331.1572,-13.9611,-13.9922,-0.5967,-0.6173,0.0163,0.0223,24.0195,24.0903,23.453,0.7068,1.0,1.0,1.0,1.0,0.0972,0.0214,0.0708,0.0,0.0
S0000d20a,336.3129,336.2293,-10.8753,-10.8864,-0.4843,-0.5041,0.1187,0.1251,23.499,23.5188,22.883,0.695,1.0,1.0,1.0,1.0,0.0828,0.0208,0.0197,0.0,0.0
S00005Gna,315.6514,315.5976,-8.1157,-8.1329,-0.3288,-0.3382,-0.0088,-0.0057,24.4277,24.4445,21.853,0.6031,1.0,1.0,1.0,1.0,0.0559,0.0098,0.0168,0.0,0.0
S0000cs6a,52.6488,52.7737,-4.3492,-4.516,0.238,0.2122,-0.5456,-0.5405,24.157,24.1546,22.826,0.3547,1.0,1.0,0.86,0.93,0.2081,0.0264,-0.0025,0.0,0.07
S0000MHGa,290.0951,290.0778,-63.4901,-63.4869,-0.319,-0.3714,0.1903,0.1856,24.2616,24.1289,24.518,0.1968,1.0,1.0,1.0,1.0,0.0084,0.0526,-0.1326,0.0,0.0
S00009VCa,275.8938,275.9114,-47.0135,-47.0175,0.5624,0.5339,-0.1853,-0.1856,23.3088,23.437,22.545,0.3097,1.0,1.0,0.95,0.92,0.0126,0.0285,0.1283,0.0,-0.03
S00001F3a,295.5044,295.7871,-17.3478,-17.3465,1.3866,1.3207,-0.2365,-0.2147,18.9045,19.3806,20.327,0.7127,1.0,1.0,1.0,1.0,0.2698,0.0695,0.4761,0.0,0.0
S00002GSa,44.1054,44.2505,-11.7324,-12.0188,0.1441,0.1169,-0.9046,-0.9022,22.2033,22.52,20.925,0.216,1.0,1.0,0.98,0.99,0.3197,0.0273,0.3167,0.0,0.01
S00003JQa,7.5116,7.1424,-47.7355,-47.8791,-1.014,-1.0244,0.0475,0.0684,23.2923,23.4125,21.333,0.7359,1.0,1.0,1.0,1.0,0.2869,0.0233,0.1202,0.0,0.0
S00004nna,16.0425,15.9629,-5.7841,-5.847,-0.3163,-0.3304,-0.0892,-0.0838,24.1719,24.2213,21.529,0.6599,1.0,1.0,1.0,1.0,0.1011,0.0151,0.0494,0.0,0.0
S00004oBa,256.3394,256.4122,-41.269,-41.2599,0.8693,0.8497,0.2157,0.2206,22.9934,23.2033,21.534,0.4265,1.0,1.0,0.99,0.98,0.0555,0.0201,0.2099,0.0,-0.01
S00008moa,343.4413,343.1409,1.3442,1.1845,-1.3159,-1.3294,-0.1339,-0.1218,21.784,22.2191,22.332,0.8198,1.0,1.0,1.0,1.0,0.3401,0.0181,0.4351,0.0,0.0
S0000aaLa,248.1168,248.2551,-53.3909,-53.3497,1.192,1.1481,0.7134,0.7321,22.3826,22.6796,22.575,0.2391,1.0,1.0,1.0,1.0,0.0921,0.0476,0.297,0.0,0.0
S0000FLza,4.0766,3.8943,-1.8529,-1.871,-0.53,-0.5738,0.168,0.1857,23.4655,23.6935,24.328,0.2123,1.0,1.0,1.0,1.0,0.1831,0.0472,0.228,0.0,0.0
S0000cdNa,317.0336,316.9745,-6.7686,-6.7902,-0.3649,-0.3791,-0.0231,-0.019,24.4681,24.5342,22.803,0.377,1.0,1.0,1.0,1.0,0.0624,0.0148,0.0661,0.0,0.0
S0000e3ya,304.6008,304.5732,1.2477,1.3217,-0.0132,-0.0657,0.5088,0.5213,21.5574,21.6599,22.976,0.4644,1.0,1.0,0.84,0.82,0.079,0.054,0.1024,0.0,-0.02
S0000fqua,315.6902,315.7017,-9.6876,-9.6503,0.1728,0.1367,0.2033,0.2132,22.2056,22.2205,23.092,0.4124,1.0,1.0,0.95,0.95,0.039,0.0374,0.0149,0.0,0.0
S0000i4Aa,312.8546,312.7627,-19.83,-19.8558,-0.3953,-0.4104,-0.0108,-0.0024,24.1294,24.1376,23.288,0.2612,1.0,1.0,1.0,1.0,0.0902,0.0173,0.0083,0.0,0.0
S0000Ir7a,8.0007,8.2204,-2.0471,-2.5811,0.024,-0.074,-1.8786,-1.8032,21.5946,22.3814,24.405,0.5277,1.0,1.0,1.0,1.0,0.5774,0.1236,0.7869,0.0,0.0
S0000T2ta,4.9434,5.1388,2.5309,2.5473,0.6153,0.5838,-0.2086,-0.1966,24.159,24.2207,24.67,0.5372,1.0,1.0,1.0,1.0,0.1959,0.0337,0.0617,0.0,0.0
S00000lMa,345.719,345.6555,-8.61,-8.6368,-0.2523,-0.2582,-0.0029,-0.0004,23.0139,23.0374,18.399,0.4757,0.0021,0.0022,0.01,0.01,0.0682,0.0064,0.0235,0.0,0.0
S0000Fyha,345.1276,345.0895,-7.9538,-8.127,-0.3571,-0.3891,-0.5514,-0.5412,23.7589,23.7479,24.321,0.2069,1.0,1.0,0.23,0.32,0.1773,0.0336,-0.011,0.0,0.09
S0000dj0a,325.6932,325.5654,3.7394,3.619,-0.627,-0.6399,-0.2739,-0.2667,23.2639,23.3894,22.908,0.7498,1.0,1.0,1.0,1.0,0.1754,0.0148,0.1255,0.0,0.0
S00014pVa,358.0772,358.2521,-1.565,-1.6357,0.4729,0.437,-0.4624,-0.4529,23.7932,23.9571,24.903,0.5608,1.0,1.0,0.96,0.95,0.1886,0.0371,0.1639,0.0,-0.01
S0000htma,311.0826,310.7178,-4.947,-4.6748,-1.8527,-1.8744,2.3798,2.3602,22.3437,23.3559,23.246,0.4711,0.0,0.0,1.0,1.0,0.454,0.0293,1.0122,0.0,0.0
S0000z4Xa,8.7391,9.0607,-5.309,-5.4458,0.7839,0.7557,-0.7992,-0.798,23.1343,23.5687,24.111,0.6346,1.0,1.0,1.0,1.0,0.3482,0.0283,0.4345,0.0,0.0
S0000Jv8a,359.1705,359.2892,-10.433,-10.3208,0.6021,0.5492,0.1967,0.2228,22.7222,22.8548,24.434,0.4335,1.0,1.0,1.0,0.99,0.1619,0.059,0.1326,0.0,-0.01
S0000NYNa,346.9236,346.9205,-8.7755,-8.6469,0.2106,0.1671,0.4373,0.4637,22.9205,22.9413,24.55,0.5045,1.0,1.0,0.86,0.86,0.1287,0.0509,0.0208,0.0,0.0
S0000PsOa,325.9264,326.0525,-6.8516,-6.6864,1.1645,1.0205,0.6739,0.6988,20.4397,20.9259,24.587,0.5537,1.0,1.0,1.0,1.0,0.2073,0.1462,0.4862,0.0,0.0
S0000ZW9a,342.6478,342.7653,-5.2777,-5.5159,0.1041,0.057,-1.0178,-0.9918,23.0207,23.4814,24.817,0.5611,1.0,1.0,0.88,0.88,0.2654,0.0538,0.4606,0.0,0.0
S00016Kpa,306.9918,307.0509,-4.3852,-4.3852,0.4324,0.3862,-0.1061,-0.0948,23.8695,23.9604,24.946,0.5574,1.0,1.0,1.0,1.0,0.0589,0.0476,0.0909,0.0,0.0
S0000v5da,5.8853,5.8497,3.5217,3.239,-0.4458,-0.4805,-0.7952,-0.7885,24.0421,24.1202,23.961,0.1578,1.0,1.0,0.94,0.96,0.285,0.0353,0.0781,0.0,0.02
S00001Hna,320.3622,320.3045,-10.7737,-10.8166,-0.4214,-0.4292,-0.1513,-0.148,23.3103,23.3375,20.355,0.8308,1.0,1.0,1.0,1.0,0.0711,0.0084,0.0272,0.0,0.0
S00002u8a,321.1046,321.0396,-1.0023,-1.0266,-0.4165,-0.4245,-0.0159,-0.0137,24.2968,24.6767,20.827,0.7056,1.0,1.0,1.0,1.0,0.0694,0.0084,0.3799,0.0,0.0
S00004H1a,256.6729,256.5788,-32.0769,-32.249,-0.9954,-1.0365,-2.9125,-2.8925,21.15,22.0816,21.615,0.3126,0.0,0.0,1.0,1.0,0.1897,0.0458,0.9316,0.0,0.0
S000052na,318.1308,318.0457,-16.1864,-16.1951,-0.352,-0.3645,0.069,0.0753,22.9231,23.0472,21.703,0.3259,1.0,1.0,1.0,1.0,0.0822,0.014,0.1241,0.0,0.0
S0000fNIa,12.3887,12.5521,-14.5507,-14.8388,0.1107,0.078,-1.095,-1.0943,23.1805,23.612,23.122,0.4655,1.0,1.0,0.87,0.84,0.3287,0.0327,0.4315,0.0,-0.03
S0000s4aa,264.1107,263.9026,-37.5708,-37.4942,-1.3651,-1.3959,0.5547,0.5721,23.7212,24.2301,23.834,0.6938,1.0,1.0,1.0,1.0,0.1819,0.0354,0.5089,0.0,0.0
S0000166a,263.938,263.9608,-49.4329,-49.4169,0.6058,0.5851,0.6271,0.6279,21.4707,21.688,19.813,0.268,1.0,1.0,0.91,0.88,0.0218,0.0207,0.2172,0.0,-0.03
S00003yia,282.1491,282.1581,-5.3262,-5.3264,0.1005,0.0852,-0.0099,-0.0083,23.095,23.1183,21.27,0.261,0.0009,0.001,0.12,0.09,0.009,0.0154,0.0233,0.0,-0.03
S00004Yla,293.5903,293.4412,-27.1265,-27.0172,-0.5349,-0.5405,0.6169,0.6208,23.523,23.7983,21.687,0.4942,1.0,1.0,1.0,1.0,0.1719,0.0069,0.2753,0.0,0.0
S0000eGxa,316.9786,316.9099,-7.6524,-7.7065,-0.4752,-0.4892,-0.1937,-0.1873,24.077,24.3418,23.031,0.7741,1.0,1.0,1.0,1.0,0.0869,0.0154,0.2648,0.0,0.0
S00002gla,26.4878,26.1778,-40.3359,-40.1472,-0.3464,-0.389,0.707,0.7451,20.7595,20.9021,20.711,0.2589,1.0,1.0,0.99,0.99,0.3024,0.0572,0.1426,0.0,0.0
S00002vla,320.6059,320.477,-8.7435,-8.6992,-0.6271,-0.6502,0.4842,0.49,20.6636,20.9359,20.837,0.4013,1.0,1.0,1.0,1.0,0.1349,0.0237,0.2722,0.0,0.0
S00005ica,322.7244,322.6279,-5.9683,-6.1138,-0.8145,-0.8408,-0.6502,-0.6441,21.7005,22.0756,21.765,0.3957,1.0,1.0,1.0,1.0,0.1742,0.027,0.3751,0.0,0.0
S00005Zaa,274.2535,274.2222,-29.1049,-29.1175,-0.2465,-0.2605,-0.1128,-0.1081,23.6107,23.6363,21.917,0.605,1.0,1.0,1.0,1.0,0.0301,0.0148,0.0256,0.0,0.0
S00008N2a,50.0547,50.4595,-4.9397,-4.954,1.1696,1.1561,-0.351,-0.3459,23.6687,24.0234,22.394,0.5155,1.0,1.0,1.0,1.0,0.4036,0.0144,0.3548,0.0,0.0
S00009Fka,45.7274,46.2078,2.7875,2.9196,1.4327,1.4028,-0.0323,-0.0192,22.7845,23.0522,22.512,0.5433,1.0,1.0,1.0,1.0,0.4977,0.0326,0.2677,0.0,0.0
S0000gU5a,340.1024,339.9819,-1.1571,-1.1912,-0.4708,-0.4899,0.0485,0.055,24.0975,24.0702,23.205,0.3125,1.0,1.0,1.0,1.0,0.1252,0.0201,-0.0273,0.0,0.0
S00005Tpa,14.9824,14.8821,-10.0489,-10.3207,-0.6691,-0.7115,-0.704,-0.6933,21.7903,22.0512,21.898,0.447,1.0,1.0,1.0,1.0,0.2892,0.0437,0.2609,0.0,0.0
S0000gWZa,290.2287,290.2179,-54.8476,-54.8433,-0.3246,-0.3486,0.284,0.2806,24.4027,24.296,23.209,0.8257,1.0,1.0,1.0,1.0,0.0076,0.0242,-0.1067,0.0,0.0
S0000mAta,341.2903,341.3054,3.2044,2.943,-0.3062,-0.3489,-0.9812,-0.9507,21.9504,22.2938,23.565,0.7084,1.0,1.0,0.86,0.84,0.2618,0.0524,0.3434,0.0,-0.02
S0000mVoa,352.6789,352.4333,-5.1861,-5.586,-1.483,-1.5108,-1.0829,-1.0471,22.0648,22.6728,23.583,0.616,1.0,1.0,1.0,1.0,0.4687,0.0453,0.608,0.0,0.0
S0000sWYa,265.0809,265.0796,-43.2301,-43.1268,-0.0368,-0.0843,1.7738,1.7796,23.3621,23.9075,23.873,0.306,1.0,1.0,1.0,1.0,0.1034,0.0478,0.5453,0.0,0.0
S0000yfva,23.1182,23.3457,-1.7153,-1.5416,0.9337,0.8719,0.2416,0.2654,22.7561,22.9357,24.081,0.4771,1.0,1.0,1.0,1.0,0.2862,0.0662,0.1796,0.0,0.0
S0000KOoa,343.7472,343.5792,-6.4111,-6.5017,-0.6839,-0.7256,-0.0823,-0.071,23.9071,23.9126,24.469,0.7662,1.0,1.0,1.0,1.0,0.19,0.0432,0.0055,0.0,0.0
S00001Hqa,346.4504,346.3641,-6.331,-6.358,-0.3326,-0.3397,0.0294,0.0324,24.2736,24.4255,20.356,0.6398,1.0,1.0,1.0,1.0,0.0899,0.0077,0.1519,0.0,0.0
S00000v7a,12.5327,13.1141,-38.8569,-38.9378,1.2031,1.1643,-0.7587,-0.7018,17.0338,17.317,18.842,0.4531,1.0,1.0,1.0,1.0,0.46,0.0688,0.2832,0.0,0.0
S00000nAa,262.8888,262.9843,-27.3045,-27.3009,0.7292,0.7039,0.0606,0.0686,19.0183,19.2032,18.498,0.5549,1.0,1.0,1.0,1.0,0.0849,0.0265,0.1849,0.0,0.0
S000120ua,2.2768,1.423,-42.6879,-42.3963,-1.2553,-1.2396,1.4543,1.4765,23.8756,24.11,24.857,0.6101,1.0,1.0,0.99,0.99,0.6921,0.0272,0.2344,0.0,0.0
S0000vRqa,253.1685,253.3226,-52.2311,-52.2266,2.0887,2.0469,0.32,0.3301,24.2122,24.307,23.992,0.6118,0.0,0.0,1.0,1.0,0.0945,0.043,0.0948,0.0,0.0
